19,5                     
0,0,20,10    
       
0, 10, 1, 9             
1, 9, 2, 10
2, 10, 3, 9
3, 9, 4, 10
4, 10, 5, 9
5, 9, 6, 10
6, 10, 7, 9
7, 9, 8, 10
8, 10, 9, 9
9, 9, 10, 10
10, 10, 11, 9
11, 9, 12, 10
12, 10, 13, 9
13, 9, 14, 10
14, 10, 15, 9
15, 9, 16, 10
16, 10, 17, 9
17, 9, 18, 10
18, 10, 19, 9
19, 9, 20, 10

0, 0, 1, 1
1, 1, 2, 0
2, 0, 3, 1
3, 1, 4, 0
4, 0, 5, 1
5, 1, 6, 0
6, 0, 7, 1
7, 1, 8, 0
8, 0, 9, 1
9, 1, 10, 0
10, 0, 11, 1
11, 1, 12, 0
12, 0, 13, 1
13, 1, 14, 0
14, 0, 15, 1
15, 1, 16, 0
16, 0, 17, 1
17, 1, 18, 0
18, 0, 19, 1
19, 1, 20, 0

0, 10, 0, 0
20, 0, 20, 10

inf                     
0,1,20,1,20,9,0,9     
